Reporting ID,Data Year,MapLot,BEUDO Category,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2)
B1028,2015,86-105,Municipal,K-12 School,K-12 School (58323.0),58323,,CAMBRIDGE CITY OF,SCHOOL DEPT,54,362329.5,1236268.4,28615.9,2861586.5,,,,,,,,,,4097854.9,4020273.8,70.3,68.9,6466217.5,6384087.6,110.9,109.5,246.8,4.2
B1029,2015,104-109,Municipal,K-12 School,K-12 School (58529.0),58529,,CAMBRIDGE CITY OF,SCH0OL DEPT,70,247125.5,843192.2,761.8,76179.2,,2906970.5,,,,,,,,3826341.8,3775066.3,65.4,64.5,5376966.4,5324509.4,91.9,91,284.4,4.9
B1030,2015,118-33,Municipal,Office,Office (59140.0),59140,,CAMBRIDGE CITY OF,CITY HALL,,654703,2233847,19340.2,1934021.2,,,,,,,,,,4167868.3,4119808.7,70.5,69.7,8285494,8209281.1,140.1,138.8,274,4.6
B1031,2015,105-61,Municipal,Office,Office (34055.0),58318,,CAMBRIDGE CITY OF,POLICE DEPT,,224340.9,765451.3,6944.1,694405.6,,,,,,,,,,1459856.9,1458156.6,42.9,42.8,2872389.5,2870604.2,84.3,84.3,95.6,2.8
B1032,2015,266-34,Municipal,Parking,Parking (8792.0),8792,,CAMBRIDGE CITY OF,,,142140.3,484982.9,11865.6,1186564.1,,,,,,,,,,1671547,1605655.4,190.1,182.6,2603844.4,2528871.7,296.2,287.6,100.2,11.4
B1033,2015,85-1,Municipal,Office,Office (12550.0),12550,,CITY OF CAMBRIDGE,,100,,,4279.8,427975.6,,,,,,,,,,427975.6,422688.2,34.1,33.7,449374.4,443822.6,35.8,35.4,22.7,1.8
B1034,2015,"137-39, 138-33",Municipal,K-12 School,K-12 School (403393.0),403393,,CAMBRIDGE CITY OF,,72,3049577,10405158.1,125931.6,12593163.5,,,,,,,,,37904.1,23127650.3,22920458.7,57.3,56.8,42486593.1,42269146.3,105.3,104.8,1466.7,3.6
B1036,2015,122-199,Municipal,K-12 School,"K-12 School (152065.0),Parking (10000.0)",152065,,CAMBRIDGE CITY OF,,100,585774.5,1998662.7,1071.1,107111.8,,,,,,,,,,2105774.5,2105774.5,13.8,13.8,5708722.9,5708722.9,37.5,37.5,158.9,1
B1037,2015,114A-67,Municipal,Fire Station,Fire Station (16728.0),16728,,CAMBRIDGE CITY OF,FIRE DEPT,,47794.7,163075.7,7599.5,759949.9,,,,,,,,,,923025.6,902440.8,55.2,53.9,1254559.3,1227576.9,75,73.4,52.9,3.2
B1038,2015,106-122,Municipal,Parking,Parking (110883.0),110884,,CAMBRIDGE CITY OF,,,144845.1,494211.7,,,,,,,,,,,,494211.7,492680,6.2,6.1,1383792.7,1379504,17.2,17.2,37.9,0.5
B1039,2015,156-97,Municipal,K-12 School,K-12 School (69340.0),69340,,CAMBRIDGE CITY OF,SCHOOL DEPT,61,537660.2,1834496.7,25846.9,2584685.2,,,,,,,,,,4419182,4337973.1,63.7,62.6,7850510.4,7726337.8,113.2,111.4,277.9,4
B1040,2015,257-42,Municipal,Other - Recreation,"Other - Recreation (24321.0),Parking (4810.0)",31586,,CITY OF CAMBRIDGE,,,529976.7,1808280.8,1610.1,161012.9,,,,,0,,,,11995.6,2010222.7,2006069.4,82.7,82.5,5273178.8,5267181.9,216.8,216.6,147.2,6.1
B1041,2015,106-122,Municipal,Library,Library (15447.0),15447,,CAMBRIDGE CITY OF,,,71067.1,242480.9,4186.3,418628.8,,,,,,,,,,661109.8,640433.9,42.8,41.5,1118506.9,1087306.5,72.4,70.4,40.8,2.6
B1042,2015,92-57,Municipal,Fire Station,Fire Station (19080.0),19080,,CAMBRIDGE CITY OF,FIRE DEPT,,72710.3,248087.7,10703,1070298.8,,,,,,,,,,1318386.6,1277509.5,69.1,67,1818459.4,1768165.6,95.3,92.7,75.9,4
B1043,2015,119-23,Municipal,Other - Recreation,Other - Recreation (27999.0),27999,,CAMBRIDGE CITY OF,CITY HALL,,342793.6,1169611.8,17927.8,1792781.4,,,,,,,,,,2962393.1,2894840.8,105.8,103.4,5157333.3,5086403.4,184.2,181.7,184.9,6.6
B1044,2015,31-22,Municipal,Police Station,"Police Station (115793.0),Parking (46754.0)",162547,,CITY OF CAMBRIDGE,,,3287807.3,11218000,43596.6,4359663.7,,,,,,,,,,15577663.7,15501793.2,134.5,133.9,35988047,35787763.2,310.8,309.1,1091.7,9.4
B1045,2015,269-136,Municipal,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym (12089.0),12089,,CAMBRIDGE CITY OF,,,136583.2,466022,2726.8,272680.6,,,,,,,,,,738702.6,728665,61.1,60.3,1591176.2,1572787.3,131.6,130.1,50.2,4.2
B1046,2015,256-80,Municipal,K-12 School,K-12 School (53664.0),53664,,CAMBRIDGE CITY OF,SCHOOL DEPT,48,503277.4,1717182.8,25130.9,2513090.4,,,,,,,,,,4230273.3,4185521.2,78.8,78,7446856.9,7372438.7,138.8,137.4,265.1,4.9
B1047,2015,266-34,Municipal,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution (155632.0),155632,,CAMBRIDGE CITY OF,,,8459326.2,28863224.6,87086.5,8708646.8,,,,,,,,,224,37572635.6,37145282.1,241.4,238.7,89961872.1,89056510.5,578,572.2,2675.5,17.2
B1048,2015,"85-1, 85-63",Municipal,Parking,"Office (9520.0),Parking (47152.0)",56672,,CITY OF CAMBRIDGE,,,,,51413,5141295.2,,,,,,,,,,5141295.2,5083872.4,540.1,534,5398360,5338066.1,567.1,560.7,273.1,28.7
B1049,2015,181-52,Municipal,Fire Station,Fire Station (11213.0),11213,,CAMBRIDGE CITY OF,,,41162.6,140446.7,8816.1,881605.1,,,,,,,,,,1022051.9,1008804.8,91.1,90,1318936.2,1297273.1,117.6,115.7,57.6,5.1
B1050,2015,"138-2, 138-33",Municipal,Library,"Library (102752.0),Parking (17434.0)",120185,,CAMBRIDGE CITY OF,,,1883730,6427287.7,73103.6,7310360.4,,,,,,,,,,13737648.1,13452166.4,133.7,130.9,25672283.9,25238903.2,249.8,245.6,881.1,8.6
B1052,2015,137-1,Municipal,Fire Station,Fire Station (30389.0),30389,,CAMBRIDGE CITY OF,FIRE STATION,,323217.7,1102819,11901,1190101.2,,,,,,,,,,2292920.2,2255200.9,75.5,74.2,4337499.6,4297894.3,142.7,141.4,147.8,4.9
B1053,2015,38-1,Municipal,Other - Recreation,"Other - Recreation (16132.0),Pre-school/Daycare (3927.0)",20059,,CAMBRIDGE CITY OF,,,258369,881555.1,10746.4,1074640,,,,,,,,,4139.7,1970319.8,1932949.1,98.2,96.4,3610851,3552905.3,180,177.1,124.7,6.2
B1054,2015,88-11,Municipal,Other - Recreation,"Other - Recreation (13565.0),Pre-school/Daycare (5840.0)",19405,,CAMBRIDGE CITY OF,RECREATION DEPT,,178939.3,610541,16347.4,1634739.5,,,,,,,,,,2245280.5,2221490.2,115.7,114.5,3425991.4,3388503.6,176.6,174.6,133.6,6.9
B1055,2015,135-2,Municipal,Vocational School,"Other - Entertainment/Public Assembly (4731.0),Vocational School (14116.0),Office (2250.0)",21097,,CAMBRIDGE CITY OF,,,141187.1,481730.4,2530.3,253028,,961584,,,,,,,,1696342.4,1674275.4,80.4,79.4,2585724.4,2560335.6,122.6,121.4,121.7,5.8
B1056,2015,114-130,Municipal,K-12 School,K-12 School (74621.0),74621,,CAMBRIDGE CITY OF,SCHOOL DEPT,77,310839.5,1060584.4,30766.9,3076691.8,,,,,,,,,,4137276.2,4047638.9,55.4,54.2,6200162.7,6104973.3,83.1,81.8,244.7,3.3
B1057,2015,76-96,Municipal,K-12 School,K-12 School (83221.0),83221,,CAMBRIDGE CITY OF,SCHOOL DEPT,64,407249,1389533.7,,,,4348655.6,,,,,,,,5738189.3,5680650.7,69,68.3,8282836.5,8223804.9,99.5,98.8,429.2,5.2
B1058,2015,212-58,Municipal,K-12 School,K-12 School (78732.0),78732,,CAMBRIDGE CITY OF,SCHOOL DEPT.,80,286054.3,976017.5,9506.9,950686.3,,2362283.8,,,,,,,,4288987.7,4109171.9,54.5,52.2,6116976.4,5934506.3,77.7,75.4,300.6,3.8
B1547,2015,74-127,Municipal,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient (20754.0),41221,,Cambridge Health Alliance,C/O Cambridge Hospital,,1036584.7,3536827.4,34573.1,3457313,,,,,,,,,,6994140.4,6923586.2,337,333.6,13533295.4,13381353,652.1,644.8,454.8,21.9
B1548,2015,111-60,Municipal,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical) (360250.0),Parking (78813.0)",360250,,CAMBRIDGE CITY OF,,34,9533589.7,32528612,729494.2,72949420.7,,0,,,,,,,,105478032.7,104866591.7,292.8,291.1,167677005.3,166695520.6,465.4,462.7,6368.7,17.7
B1679,2015,266-33,Municipal,Senior Living Community,"Senior Living Community (81000.0),Parking (15000.0)",81000,,CITY OF CAMBRIDGE,C/O NEVILLE COMMUNITIES HOME INC,,,,,,,,,,,,,,,,,,,,,,,0,0
B1690,2015,18-75,Municipal,Parking,"Restaurant (3215.0),Office (2035.0),Parking (391581.0),Social/Meeting Hall (7321.0)",404152,,CAMBRIDGE CITY OF,,,448190.1,1529224.7,1,100,,,,,,,,,,1529324.7,1526860.3,121.7,121.5,4281934.3,4275033.7,340.6,340.1,117.3,9.3
B1724,2015,106-122,Municipal,Multifamily Housing,Multifamily Housing (160580.0),160580,199,Cambridge Housing Authority,,7,3173376.5,10827562,0,0,,,,,,,,,,10827562,10688593.3,67.4,66.6,30317173.7,29928061.4,188.8,186.4,830.2,5.2
B1823,2015,266-40,Municipal,Senior Living Community,Senior Living Community (49730.0),49730,,CITY OF CAMBRIDGE,"C/O NEVILLE COMMUNITIES HOME, INC",,,,,,,,,,,,,,,,,,,,,,,0,0
B1830,2015,197-4,Municipal,K-12 School,"Other - Recreation (14837.0),K-12 School (108989.0),Library (4566.0)",128392,,CAMBRIDGE CITY OF,SCHOOL DEPT,67,1016347.3,3467777.6,48090.8,4809083.9,,,,,,,,,,8276861.5,8111945,64.5,63.2,14759315.3,14449263.3,115,112.5,521.3,4.1
B1846,2015,74-25,Municipal,,,,,CAMBRIDGE CITY OF,RECREATION DEPT,,,,,,,,,,,,,,,,,,,,,,,,
B1849,2015,27-82,Municipal,,,,,CITY OF CAMBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,
B1869,2015,260-80,Municipal,K-12 School,K-12 School (124543.0),124543,,City Of Cambridge,,46,2070091.2,7063151.9,28.2,2823.7,,,,,,,,,,7065975.7,6910957.7,56.7,55.5,19779790.3,19345740.2,158.8,155.3,541.7,4.3
B1880,2015,"85-1, 85-63",Municipal,Parking,,80763,,City Of Cambridge,,,311808.9,1063892.2,61598.515,6159851.5,,,,,,,,,2742.2,7233100.1,7144442.7,215.2,212.6,9817821.9,9682844.3,292.1,288.1,430.1,12.8
B1893,2015,197-4,Municipal,K-12 School,K-12 School (108989.0),108989,,CAMBRIDGE CITY OF,SCHOOL DEPT,60,909179.5,3102120.9,46478.8,4647880.7,,,,,,,,,,7750001.6,7632784,71.1,70,13566213.2,13385257.5,124.5,122.8,484.7,4.4
B1894,2015,197-4,Municipal,Library,Library (4566.0),4566,,CAMBRIDGE CITY OF,SCHOOL DEPT,,28922.6,98683.9,1612,161203.2,,,,,,,,,,259887.1,256291.9,56.9,56.1,445578.2,439284.2,97.6,96.2,16.1,3.5
B1895,2015,197-4,Municipal,Other - Recreation,Other - Recreation (14837.0),14837,,CAMBRIDGE CITY OF,SCHOOL DEPT,,78245.2,266972.8,,,,,,,,,,,,266972.8,266972.8,18,18,747523.9,747523.9,50.4,50.4,20.5,1.4
B1896,2015,18-75,Municipal,Social/Meeting Hall,Social/Meeting Hall (7321.0),7321,,CAMBRIDGE CITY OF,COMM. DEV.,,4258.1,14528.7,,,,,,,,,,,,14528.7,14528.7,2,2,40680.5,40680.5,5.6,5.6,1.1,0.2
B1897,2015,18-75,Municipal,Office,Office (1274.0),1274,,CAMBRIDGE CITY OF,COMM. DEV.,,,,,,,,,,,,,,,,,,,,,,,0,0
B1898,2015,18-75,Municipal,Restaurant,"Restaurant (3215.0),Parking (697.0)",3912,,CAMBRIDGE CITY OF,COMM. DEV.,,,,1,100,,,,,,,,,,100,100,0,0,105,105,0,0,0,0
B1899,2015,18-75,Municipal,Parking,"Office (3017.0),Parking (387868.0)",390885,,CAMBRIDGE CITY OF,COMM. DEV.,,460985.3,1572882.2,,,,,,,,,,,,1572882.2,1569077.5,521.3,520.1,4404070.1,4393417.1,1459.8,1456.2,120.6,40
B1900,2015,18-75,Municipal,Other - Public Services,Office (761.0),761,,CAMBRIDGE CITY OF,COMM. DEV.,,17154.7,58531.9,,,,,,,,,,,,58531.9,56993,76.9,74.9,163889.2,159580.5,215.4,209.7,4.5,5.9
B1901,2015,"85-1, 85-63",Municipal,Other - Public Services,"Office (22070.0),Other - Public Services (11542.0),Parking (8004.0),Other (39148.0)",80763,,CAMBRIDGE CITY OF,PUBLIC WORKS DEPT,,311808.9,1063892.2,61598.5,6159851.5,,,,,,,,,2742.2,7233100.1,7144442.7,99.4,98.2,9456098.6,9327936.1,130,128.2,408.7,5.6
B1000,2015,Sep-90,Non-Residential,Museum,"Parking (326252.0),Museum (460555.0)",460555,,MUSEUM OF SCIENCE,,,7122015.7,24300320.4,215176.7,21517666.3,,,,,,,,,,52754222,,114.5,,98979022.9,,214.9,,3466.6,7.5
B1005,2015,28-23,Non-Residential,Office,"Office (327325.0),Parking (106000.0)",327325,,"ARE-MA REGION NO.34, LLC",,69,4380359.5,14945788.4,7657,765700,,1963188.1,,,,,,9461036.4,,27135712.9,,82.9,,56017028.1,,171.1,,1960.5,6
B1006,2015,128-71,Non-Residential,Mixed Use Property,"Office (25638.0),Laboratory (23220.0),Parking (40000.0)",48858,,MIT 770/784/790 Memorial LLC,"C/O Are Equities, Inc",,3242635.4,11063873.2,118501.1,11850106.7,,,,,690,,,,,11850106.7,11499508.8,242.5,235.4,12442612.1,12074484.2,254.7,247.1,629.4,12.9
B1012,2015,"133-61, 133-50, 133-47",Non-Residential,Worship Facility,Worship Facility (98819.0),98819,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,CORPORATION SOLE,,183339.2,625553.3,24830,2483003.5,,,,,,,,,,3108556.7,2957998.8,31.5,29.9,4358702.8,4200617,44.1,42.5,179.8,1.8
B1014,2015,"90-169, 90-170",Non-Residential,Office,"Office (75372.0),Bank Branch (4670.0),Parking (6750.0),Retail Store (20506.0),Other (21556.0)",122104,,"625 MASS AVE OWNER, LLC,",C/O LINCOLN PROPERTY COMPANY,35,2362101.1,8059490,23907,2390701.2,,,,,,,,,,10450191.2,10316753.9,85.6,84.5,25076808.2,24800043.6,205.4,203.1,744.9,6.1
B1015,2015,119-92,Non-Residential,Worship Facility,Worship Facility (12800.0),12800,,ST. PETERS EPISCOPAL CHURCH,,,20918.3,71373.1,7154.3,715433.2,,,,,,,,,,786806.3,779248.4,61.5,60.9,951049.5,943031.6,74.3,73.7,43.5,3.4
B1016,2015,267.1-232,Non-Residential,Office,"Office (124404.0),Laboratory (N/A)",155000,,"AP Cambridge Partners, LLC Tr. Acorn",Park Holdings Realty Trust,1,9179380.6,31320050.6,18547.3236,1854732.4,,,,,,,,,,33174782.9,33144189.8,214,213.8,100292427.7,100260305,647,646.8,0,20.2
B1017,2015,71-56,Non-Residential,Laboratory,"Restaurant (N/A),Laboratory (278970.0)",278738,,"MIT 650 MAIN STREET, LLC",,,,,,,,,,,,,,,,,,,,,,,,0,
B1051,2015,"138-2, 138-33",Non-Residential,Fitness Center/Health Club/Gym,"Parking (50031.0),Swimming Pool (0.0),Fitness Center/Health Club/Gym (118193.0)",168224,,CAMBRIDGE CITY OF,,,1503595.8,5130269.4,104759.6,10475962.4,,,,,,,,,,15606231.8,15353306.4,132,129.9,25364514.8,24759134.8,214.6,209.5,949.8,8
B1061,2015,43-70,Non-Residential,Office,"Data Center (1700.0),Office (183496.0)",185196,,"ZUCKERMAN, MORTIMER B.,","MICHAEL A. CANTALUPA & BRYAN J. KOOP, TR",49,4122265.7,14065172.4,60013,6001299.6,,,,,,,,,,20066472,19823389.3,108.4,107,45683847.3,45306517.5,246.7,244.6,1397.2,7.5
B1063,2015,152-51,Non-Residential,College/University,College/University (231590.0),231590,,Lesley College,,,2602863.9,8880972.7,86098.2,8609816.2,,,,,,,,,,17490788.9,19442031.2,75.5,84,33907030.5,39995856.4,146.4,172.7,1138.2,4.9
B1064,2015,153-85,Non-Residential,College/University,College/University (74000.0),70172,,LESLEY UNIVERSITY,,,1331561.8,4543289.5,70824.1,7082413,,,,,,,,,,11625702.5,11587223.6,157.1,156.6,20157744.1,20065381.8,272.4,271.2,724.5,9.8
B1065,2015,157-64,Non-Residential,College/University,College/University (90700.0),90700,,LESLEY COLLEGE,,,1555102.7,5306011,22662.1,2266209.2,,,,,,,,,,7572220.2,7484464.9,83.5,82.5,17236350.5,17038227,190,187.9,527.2,5.8
B1066,2015,217-18,Non-Residential,College/University,College/University (210512.0),210512,,LESLEY UNIVERSITY,,,975734.9,3329207.9,,,,,,,,,,,,,,,,,,,,,
B1067,2015,157-62,Non-Residential,Other,College/University (31990.0),31990,,LESLEY COLLEGE,,,457843.1,1562161,43613.1,4361309.5,,,,,,,,,,5923470.5,5914809.9,185.2,184.9,8953425.7,8944332.1,279.9,279.6,351.4,11
B1071,2015,63-135,Non-Residential,Laboratory,Laboratory (94476.0),94476,,MIT 620 MEMORIAL LLC,C/O MIT INVESTMENT MANAGEMENT CO.,,3076374.6,10496591.6,157378.3,15737825.1,,,,,,,,,,10496591.6,10496591.6,111.1,111.1,29390456.4,29390456.4,311.1,311.1,804.8,8.5
B1072,2015,67-66,Non-Residential,Laboratory,Laboratory (31768.0),39120,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,OFFICE OF THE TREASURER,,2287491.9,7804923.3,69486.9,6948689,,,,,,,,,,14753612.4,14551033.4,464.4,458,29149908.8,28707064.3,917.6,903.6,967.5,30.5
B1073,2015,95-71,Non-Residential,Laboratory,Laboratory (31949.0),31949,,MIT 12 EMILY STREET LLC,,,376683.2,1285243.1,4036.5,403654.8,,,,,,,,,,1688898,1682507.2,52.9,52.7,4022518.3,4015808,125.9,125.7,120,3.8
B1074,2015,95-73,Non-Residential,Laboratory,Laboratory (54242.0),54242,,"MIT 130 BROOKLINE LLC,",,,3451470.2,11776417.6,99789.3,9978933.1,,,,,,,,,,21755350.8,,401.1,,43451849.2,,801.1,,1432.9,26.4
B1075,2015,Sep-31,Non-Residential,Hotel,"Hotel (312276.0),Restaurant (9495.0),Parking (59661.0),Swimming Pool (0.0)",321771,,"SONESTA,  ROYAL SONESTA HOTEL BOSTON","C/O RYAN, LLC",2,10285082.8,35092706.7,287514.7,28751471.4,,,,,,,,,,63844178.1,62593205.6,198.4,194.5,128448623.7,126614787.1,399.2,393.5,4217.7,13.1
B1077,2015,15-3,Non-Residential,Mixed Use Property,"Office (306723.0),Laboratory (60000.0)",366723,,"ARE-MA REGION NO. 38 LLC,",,13,9976543.9,34039972,216297.9,21629787.5,,,,,,,,,,55669759.6,54935767.5,151.8,149.8,118023198.6,117009638.3,321.8,319.1,3758.8,10.2
B1079,2015,70-90,Non-Residential,Retail Store,"Self-Storage Facility (15292.0),Retail Store (21251.0)",36543,,EIGHTEEN SAC SELF-STORAGE CORPORATION,,28,163224.8,556922.9,8170,817004.6,,,,,,,,,,1373927.5,1327349.5,37.6,36.3,2417239,2368332.1,66.1,64.8,86.1,2.4
B1080,2015,13-16,Non-Residential,Office,"Office (171514.0),Laboratory (135490.0),Parking (158440.0)",307004,,"CLPF-CAMBRIDGE SCIENCE CENTER, LLC,",,,6484102.2,22123759.4,240317,24031702.9,,,,,,,,,,46155462.4,45512014,150.3,148.2,87179814.5,86504193.7,284,281.8,2972.7,9.7
B1081,2015,14-36,Non-Residential,Office,"Restaurant (3690.0),Office (334766.0),Parking (76575.0),Other (3374.0)",341830,,RREEF AMERICA REIT II CORP. PPP,C/O CB RICHARD ELLIS,95,3611385,12322047,29469.8,2946978.8,,,,,,,,,,15269025.8,15122563.5,44.7,44.2,37596059.4,37442273.9,110,109.5,1101.3,3.2
B1082,2015,13-23,Non-Residential,Office,"Office (332808.0),Parking (148125.0)",332808,,RREEF AMERICA REIT II CORP.,,82,5057474.8,17256106,16990.4,1699039.2,,,,,,,,,,18955145.2,18537102.9,57,55.7,50101087.9,49156794.4,150.5,147.7,1413.3,4.2
B1084,2015,Aug-75,Non-Residential,Office,"Office (212790.0),Parking (63464.0)",212790,,"TWO CANAL PARK MASSACHUSETTS, LLC,",,,2634311.8,8988272.9,,,,,,,,,,,,8988272.9,8988272.9,42.2,42.2,25167164.2,25167164.2,118.3,118.3,689.1,3.2
B1085,2015,42-87,Non-Residential,Office,"Office (117748.0),Data Center (1500.0),Parking (10000.0)",119248,,BROADWAY/HAMPSHIRE,ASSOCIATES LIMITED PARTNERSHIP,8,1756593.4,5993497.5,271585.8,27158580,,,,,,,,,,33152077.5,31674678.4,278,265.6,45298302,43747033,379.9,366.9,1902.1,16
B1088,2015,14-31,Non-Residential,Office,"Personal Services (Health/Beauty, Dry Cleaning, etc) (596.0),Restaurant (N/A),Office (356032.0),Data Center (1130.0),Supermarket/Grocery Store (N/A),Fast Food Restaurant (1362.0),Parking (117524.0)",392085,,"MIT ONE BROADWAY FEE OWNER , LLC",,,5753627,19631377.8,206489.7,20648965.8,,,,,,,,,,40280343.6,40007153.8,,,76649272,76362422.6,,,2601.9,
B1089,2015,Aug-86,Non-Residential,Enclosed Mall,Enclosed Mall (396082.0),396082,,"NW CAMBRIDGE PROPERTY OWNER LLC,",,,16798218.9,57315529.9,1791.1,179109.9,,,,,,,,,,57494639.8,57145907.1,145.2,144.3,160671549.2,159695097.7,405.7,403.2,4404,11.1
B1091,2015,267.4-307,Non-Residential,Laboratory,Laboratory (N/A),75688,,"Div Fresh Pond 10 Wilson, LLC",,23,2113339.8,7210716.2,,,,,,,,,,,,7210716.2,7441689.3,94,97,22641648.8,23366904.4,295.2,304.7,0,9.1
B1092,2015,267.4-311,Non-Residential,Laboratory,Laboratory (N/A),63500,,"Div Fresh Pond 40 Smith Place, LLC",,,1504747.8,5134200.1,39568.9985,3956899.9,,,,,,,,,,9091100,9048303.6,143.2,142.5,20276133.3,20231197,319.3,318.6,0,11.1
B1093,2015,267.4-310,Non-Residential,Laboratory,Laboratory (N/A),36304,,QUAD 75 MOULTON STREET &,"20 WILSON ROAD, LLC",,,,,,,,,,,,,,,,,,,,,,,0,
B1094,2015,63-118,Non-Residential,College/University,College/University (82481.0),82481,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,1434641.3,4894996.8,19397,1939700.2,,,,,,,,,,6834696.9,,82.9,,15742676.1,,190.9,,478.3,5.8
B1095,2015,55-25,Non-Residential,College/University,College/University (186998.0),186998,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,C/O MIT INVESTMENTS MANAGEMENT CO,,271045,924805.6,,,,,,,,,,,,924805.6,,4.9,,2589455.7,,13.8,,70.9,0.4
